program,section,source,root_name,name,full_path,level,pic,usage_flag,usage_count,nb_paragraphs,nb_reads,nb_writes,nb_conditions,nb_io,has_88,nb_88,is_critical,role_infered
SRSRADIS,WORKING-STORAGE SECTION,SRSWFANO,SRSWFANO,FILLER,SRSWFANO/SRSWFANO-MESS1/FILLER,10,X(05),N,0,0,0,0,0,0,N,0,N,
SRSRADIS,WORKING-STORAGE SECTION,SRSWFANO,SRSWFANO,SRSWFANO-FICHIER,SRSWFANO/SRSWFANO-MESS1/SRSWFANO-FICHIER,10,X(08).,Y,3,3,0,3,0,0,N,0,Y,
SRSRADIS,WORKING-STORAGE SECTION,SRSWFANO,SRSWFANO,FILLER,SRSWFANO/SRSWFANO-MESS1/FILLER,10,X(16),N,0,0,0,0,0,0,N,0,N,
SRSRADIS,WORKING-STORAGE SECTION,SRSWFANO,SRSWFANO,SRSWFANO-CODE,SRSWFANO/SRSWFANO-MESS1/SRSWFANO-CODE,10,9(04).,Y,3,3,0,3,0,0,N,0,Y,CODE
SRSRADIS,WORKING-STORAGE SECTION,SRSWFANO,SRSWFANO,FILLER,SRSWFANO/SRSWFANO-MESS1/FILLER,10,X(12),N,0,0,0,0,0,0,N,0,N,
SRSRADIS,WORKING-STORAGE SECTION,SRSWFANO,SRSWFANO,SRSWFANO-APPL,SRSWFANO/SRSWFANO-MESS1/SRSWFANO-APPL,10,X(03),N,0,0,0,0,0,0,N,0,N,
SRSRADIS,WORKING-STORAGE SECTION,SRSWFANO,SRSWFANO,SRSWFANO-MESS2,SRSWFANO/SRSWFANO-MESS2,05,,Y,3,3,3,0,0,0,N,0,Y,
SRSRADIS,WORKING-STORAGE SECTION,SRSWFANO,SRSWFANO,FILLER,SRSWFANO/SRSWFANO-MESS2/FILLER,10,X(12),N,0,0,0,0,0,0,N,0,N,
SRSRADIS,WORKING-STORAGE SECTION,SRSWFANO,SRSWFANO,SRSWFANO-REPERE,SRSWFANO/SRSWFANO-MESS2/SRSWFANO-REPERE,10,X(10).,Y,3,3,0,3,0,0,N,0,Y,
SRSRADIS,WORKING-STORAGE SECTION,SRSWFANO,SRSWFANO,FILLER,SRSWFANO/SRSWFANO-MESS2/FILLER,10,X(08),N,0,0,0,0,0,0,N,0,N,
SRSRADIS,WORKING-STORAGE SECTION,SRSWFANO,SRSWFANO,SRSWFANO-CLE,SRSWFANO/SRSWFANO-MESS2/SRSWFANO-CLE,10,X(40).,Y,3,3,0,3,0,0,N,0,Y,
SRSRADIS,WORKING-STORAGE SECTION,SRSWFANO,SRSWFANO,FILLER,SRSWFANO/SRSWFANO-MESS2/FILLER,10,X(09),N,0,0,0,0,0,0,N,0,N,
SRSRADIS,WORKING-STORAGE SECTION,SRSWSRCZ,W-SRCZ-MS,W-SRCZ-MS,W-SRCZ-MS,01,,Y,0,0,0,0,0,0,N,0,N,
SRSRADIS,WORKING-STORAGE SECTION,SRSWSRCZ,W-SRCZ-MS,W-SRCZ-ID,W-SRCZ-MS/W-SRCZ-ID,05,,Y,2,1,2,0,0,0,N,0,N,IDENTIFIANT
SRSRADIS,WORKING-STORAGE SECTION,SRSWSRCZ,W-SRCZ-MS,W-SRCZ-IDMS,W-SRCZ-MS/W-SRCZ-ID/W-SRCZ-IDMS,10,X(4).,Y,1,1,0,1,0,0,N,0,N,IDENTIFIANT
SRSRADIS,WORKING-STORAGE SECTION,SRSWSRCZ,W-SRCZ-MS,W-SRCZ-TERM,W-SRCZ-MS/W-SRCZ-ID/W-SRCZ-TERM,10,X(4).,Y,1,1,0,1,0,0,N,0,N,
SRSRADIS,WORKING-STORAGE SECTION,SRSWSRCZ,W-SRCZ-MS,W-SRCZ-DONNEES,W-SRCZ-MS/W-SRCZ-DONNEES,05,,Y,2,1,2,0,0,0,N,0,N,
SRSRADIS,WORKING-STORAGE SECTION,SRSWSRCZ,W-SRCZ-MS,W-SRCZ-MESS1,W-SRCZ-MS/W-SRCZ-DONNEES/W-SRCZ-MESS1,10,,Y,4,4,1,3,0,0,N,0,Y,
SRSRADIS,WORKING-STORAGE SECTION,SRSWSRCZ,W-SRCZ-MS,FILLER,W-SRCZ-MS/W-SRCZ-DONNEES/W-SRCZ-MESS1/FILLER,15,X(76).,N,0,0,0,0,0,0,N,0,N,
SRSRADIS,WORKING-STORAGE SECTION,SRSWSRCZ,W-SRCZ-MS,W-SRCZ-APPL,W-SRCZ-MS/W-SRCZ-DONNEES/W-SRCZ-MESS1/W-SRCZ-APPL,15,X(03).,N,0,0,0,0,0,0,N,0,N,
SRSRADIS,WORKING-STORAGE SECTION,SRSWSRCZ,W-SRCZ-MS,W-SRCZ-MESS2,W-SRCZ-MS/W-SRCZ-DONNEES/W-SRCZ-MESS2,10,X(79).,Y,4,4,1,3,0,0,N,0,Y,
SRSRADIS,WORKING-STORAGE SECTION,SRSWSRCZ,W-SRCZ-MS,W-SRCZ-ABEND,W-SRCZ-MS/W-SRCZ-DONNEES/W-SRCZ-ABEND,10,X(04).,N,0,0,0,0,0,0,N,0,N,
SRSRADIS,WORKING-STORAGE SECTION,SRSCOMIN,W-SRCZ-MS,SRSIN-COMM,W-SRCZ-MS/SRSIN-COMM,03,,Y,1,1,1,0,0,0,N,0,N,
SRSRADIS,WORKING-STORAGE SECTION,SRSCOMIN,W-SRCZ-MS,SRSIN-INFOS,W-SRCZ-MS/SRSIN-COMM/SRSIN-INFOS,05,,Y,1,1,0,1,0,0,N,0,N,
SRSRADIS,WORKING-STORAGE SECTION,SRSCOMIN,W-SRCZ-MS,SRSIN-TYPAPPEL,W-SRCZ-MS/SRSIN-COMM/SRSIN-INFOS/SRSIN-TYPAPPEL,10,X.,N,0,0,0,0,0,0,N,0,N,
SRSRADIS,WORKING-STORAGE SECTION,SRSCOMIN,W-SRCZ-MS,SRSIN-INFO-SESS,W-SRCZ-MS/SRSIN-COMM/SRSIN-INFOS/SRSIN-INFO-SESS,10,,Y,0,0,0,0,0,0,N,0,N,
SRSRADIS,WORKING-STORAGE SECTION,SRSCOMIN,W-SRCZ-MS,SRSIN-CODAPPL,W-SRCZ-MS/SRSIN-COMM/SRSIN-INFOS/SRSIN-INFO-SESS/SRSIN-CODAPPL,15,X(3).,Y,1,1,0,1,0,0,N,0,N,
SRSRADIS,WORKING-STORAGE SECTION,SRSCOMIN,W-SRCZ-MS,SRSIN-CODFONC,W-SRCZ-MS/SRSIN-COMM/SRSIN-INFOS/SRSIN-INFO-SESS/SRSIN-CODFONC,15,X.,N,0,0,0,0,0,0,N,0,N,
SRSRADIS,WORKING-STORAGE SECTION,SRSCOMIN,W-SRCZ-MS,SRSIN-NOMUTIL,W-SRCZ-MS/SRSIN-COMM/SRSIN-INFOS/SRSIN-INFO-SESS/SRSIN-NOMUTIL,15,,N,0,0,0,0,0,0,N,0,N,
SRSRADIS,WORKING-STORAGE SECTION,SRSCOMIN,W-SRCZ-MS,SRSIN-CODSERV,W-SRCZ-MS/SRSIN-COMM/SRSIN-INFOS/SRSIN-INFO-SESS/SRSIN-NOMUTIL/SRSIN-CODSERV,20,X(6).,N,0,0,0,0,0,0,N,0,N,
SRSRADIS,WORKING-STORAGE SECTION,SRSCOMIN,W-SRCZ-MS,SRSIN-IDUTIL,W-SRCZ-MS/SRSIN-COMM/SRSIN-INFOS/SRSIN-INFO-SESS/SRSIN-NOMUTIL/SRSIN-IDUTIL,20,X(2).,N,0,0,0,0,0,0,N,0,N,IDENTIFIANT
SRSRADIS,WORKING-STORAGE SECTION,SRSCOMIN,W-SRCZ-MS,FILLER,W-SRCZ-MS/SRSIN-COMM/SRSIN-INFOS/SRSIN-INFO-SESS/FILLER,15,,N,0,0,0,0,0,0,N,0,N,
SRSRADIS,WORKING-STORAGE SECTION,SRSCOMIN,W-SRCZ-MS,SRSIN-NIVEAU,W-SRCZ-MS/SRSIN-COMM/SRSIN-INFOS/SRSIN-INFO-SESS/FILLER/SRSIN-NIVEAU,20,X.,N,0,0,0,0,0,0,N,0,N,
SRSRADIS,WORKING-STORAGE SECTION,SRSCOMIN,W-SRCZ-MS,FILLER,W-SRCZ-MS/SRSIN-COMM/SRSIN-INFOS/SRSIN-INFO-SESS/FILLER/FILLER,20,X(7).,N,0,0,0,0,0,0,N,0,N,
SRSRADIS,WORKING-STORAGE SECTION,SRSCOMIN,W-SRCZ-MS,SRSIN-TYPRESS,W-SRCZ-MS/SRSIN-COMM/SRSIN-INFOS/SRSIN-TYPRESS,10,X.,N,0,0,0,0,0,0,N,0,N,
SRSRADIS,WORKING-STORAGE SECTION,SRSCOMIN,W-SRCZ-MS,SRSIN-NOMRESS,W-SRCZ-MS/SRSIN-COMM/SRSIN-INFOS/SRSIN-NOMRESS,10,X(8).,N,0,0,0,0,0,0,N,0,N,
SRSRADIS,WORKING-STORAGE SECTION,SRSCOMIN,W-SRCZ-MS,FILLER,W-SRCZ-MS/SRSIN-COMM/SRSIN-INFOS/FILLER,10,,N,0,0,0,0,0,0,N,0,N,
SRSRADIS,WORKING-STORAGE SECTION,SRSCOMIN,W-SRCZ-MS,SRSIN-NOM-IMP,W-SRCZ-MS/SRSIN-COMM/SRSIN-INFOS/FILLER/SRSIN-NOM-IMP,15,X(4).,N,0,0,0,0,0,0,N,0,N,
