program,section,source,root_name,level,full_path,nb_children,nb_children_used,has_occurs,has_88,used,usage_count_total,first_usage_line
SRSRADIS,WORKING-STORAGE SECTION,MAIN,W-ANO-APPLI,01,W-ANO-APPLI,2,1,N,N,Y,2,000399
SRSRADIS,WORKING-STORAGE SECTION,MAIN,W-MES-FIN-ANORMALE,01,W-MES-FIN-ANORMALE,3,1,N,N,Y,2,000782
SRSRADIS,WORKING-STORAGE SECTION,MAIN,W-MES-PUPITRE,01,W-MES-PUPITRE,2,1,N,N,Y,4,000788
SRSRADIS,WORKING-STORAGE SECTION,MAIN,W-MES-ANO-BLOQ-1,01,W-MES-ANO-BLOQ-1,1,0,N,N,Y,1,000856
SRSRADIS,WORKING-STORAGE SECTION,MAIN,W-MES-ANO-BLOQ-2,01,W-MES-ANO-BLOQ-2,4,2,N,N,Y,3,000850
SRSRADIS,WORKING-STORAGE SECTION,MAIN,W-ABCODE,01,W-ABCODE,2,2,N,N,Y,14,000470
SRSRADIS,WORKING-STORAGE SECTION,MAIN,WTS-IDENTITE,01,WTS-IDENTITE,2,2,N,N,Y,4,000745
SRSRADIS,WORKING-STORAGE SECTION,MAIN,W-IND01,01,W-IND01,0,0,N,N,Y,25,000447
SRSRADIS,WORKING-STORAGE SECTION,MAIN,W-IND02,01,W-IND02,0,0,N,N,Y,32,000447
SRSRADIS,WORKING-STORAGE SECTION,MAIN,W-IND03,01,W-IND03,0,0,N,N,Y,19,000516
SRSRADIS,WORKING-STORAGE SECTION,MAIN,W-AIG-FONC,01,W-AIG-FONC,0,0,N,N,Y,2,000492
SRSRADIS,WORKING-STORAGE SECTION,MAIN,W-AIG-DISP,01,W-AIG-DISP,0,0,N,N,Y,4,000554
SRSRADIS,WORKING-STORAGE SECTION,MAIN,W-AIG-DISP-2,01,W-AIG-DISP-2,0,0,N,N,Y,4,000555
SRSRADIS,WORKING-STORAGE SECTION,MAIN,W-CTR-FICH,01,W-CTR-FICH,0,0,N,N,Y,4,000478
SRSRADIS,WORKING-STORAGE SECTION,MAIN,W-CTR-FICHF,01,W-CTR-FICHF,0,0,N,N,Y,3,000479
SRSRADIS,WORKING-STORAGE SECTION,MAIN,W-CTR-OUVERTS,01,W-CTR-OUVERTS,0,0,N,N,Y,4,000552
SRSRADIS,WORKING-STORAGE SECTION,MAIN,W-CTR-FERMES,01,W-CTR-FERMES,0,0,N,N,Y,4,000553
SRSRADIS,WORKING-STORAGE SECTION,MAIN,W-CTR-FONCDISP,01,W-CTR-FONCDISP,0,0,N,N,Y,10,000518
SRSRADIS,WORKING-STORAGE SECTION,MAIN,W-CTR-FONCINDISP,01,W-CTR-FONCINDISP,0,0,N,N,Y,10,000519
SRSRADIS,WORKING-STORAGE SECTION,MAIN,W-DISPIND1,01,W-DISPIND1,0,0,N,N,Y,12,000517
SRSRADIS,WORKING-STORAGE SECTION,MAIN,W-DISPIND2,01,W-DISPIND2,0,0,N,N,Y,10,000623
SRSRADIS,WORKING-STORAGE SECTION,MAIN,W-TABLE-FONC,01,W-TABLE-FONC,3,3,Y,N,Y,11,000515
SRSRADIS,LINKAGE SECTION,MAIN,DFHCOMMAREA,01,DFHCOMMAREA,0,0,N,N,N,0,
SRSRADIS,LINKAGE SECTION,SRSFAPPD,FAPPD-ENR,01,FAPPD-ENR,12,9,Y,N,Y,30,000424
SRSRADIS,LINKAGE SECTION,SRSFFONC,FFONC-ENR,01,FFONC-ENR,18,5,N,N,Y,5,000636
