program,section,source,level,name,parent_name,full_path,pic,usage,occurs,occurs_depends_on,redefines,value,line_etude,used_direct,used,usage_count,first_usage_line
SRSRADIS,WORKING-STORAGE SECTION,SRSWFANO,10,FILLER,SRSWFANO-MESS2,SRSWFANO/SRSWFANO-MESS2/FILLER,X(08),,,,,' - CLE: ',000126,N,N,0,
SRSRADIS,WORKING-STORAGE SECTION,SRSWFANO,10,SRSWFANO-CLE,SRSWFANO-MESS2,SRSWFANO/SRSWFANO-MESS2/SRSWFANO-CLE,X(40).,,,,,,000127,Y,Y,3,000434
SRSRADIS,WORKING-STORAGE SECTION,SRSWFANO,10,FILLER,SRSWFANO-MESS2,SRSWFANO/SRSWFANO-MESS2/FILLER,X(09),,,,,SPACES,000128,N,N,0,
SRSRADIS,WORKING-STORAGE SECTION,SRSWSRCZ,01,W-SRCZ-MS,,W-SRCZ-MS,,,,,,,000131,N,Y,0,
SRSRADIS,WORKING-STORAGE SECTION,SRSWSRCZ,05,W-SRCZ-ID,W-SRCZ-MS,W-SRCZ-MS/W-SRCZ-ID,,,,,,,000132,Y,Y,2,000826
SRSRADIS,WORKING-STORAGE SECTION,SRSWSRCZ,10,W-SRCZ-IDMS,W-SRCZ-ID,W-SRCZ-MS/W-SRCZ-ID/W-SRCZ-IDMS,X(4).,,,,,,000133,Y,Y,1,000823
SRSRADIS,WORKING-STORAGE SECTION,SRSWSRCZ,10,W-SRCZ-TERM,W-SRCZ-ID,W-SRCZ-MS/W-SRCZ-ID/W-SRCZ-TERM,X(4).,,,,,,000134,Y,Y,1,000824
SRSRADIS,WORKING-STORAGE SECTION,SRSWSRCZ,05,W-SRCZ-DONNEES,W-SRCZ-MS,W-SRCZ-MS/W-SRCZ-DONNEES,,,,,,,000135,Y,Y,2,000827
SRSRADIS,WORKING-STORAGE SECTION,SRSWSRCZ,10,W-SRCZ-MESS1,W-SRCZ-DONNEES,W-SRCZ-MS/W-SRCZ-DONNEES/W-SRCZ-MESS1,,,,,,,000136,Y,Y,4,000405
SRSRADIS,WORKING-STORAGE SECTION,SRSWSRCZ,15,FILLER,W-SRCZ-MESS1,W-SRCZ-MS/W-SRCZ-DONNEES/W-SRCZ-MESS1/FILLER,X(76).,,,,,,000137,N,N,0,
SRSRADIS,WORKING-STORAGE SECTION,SRSWSRCZ,15,W-SRCZ-APPL,W-SRCZ-MESS1,W-SRCZ-MS/W-SRCZ-DONNEES/W-SRCZ-MESS1/W-SRCZ-APPL,X(03).,,,,,,000138,N,N,0,
SRSRADIS,WORKING-STORAGE SECTION,SRSWSRCZ,10,W-SRCZ-MESS2,W-SRCZ-DONNEES,W-SRCZ-MS/W-SRCZ-DONNEES/W-SRCZ-MESS2,X(79).,,,,,,000139,Y,Y,4,000408
SRSRADIS,WORKING-STORAGE SECTION,SRSWSRCZ,10,W-SRCZ-ABEND,W-SRCZ-DONNEES,W-SRCZ-MS/W-SRCZ-DONNEES/W-SRCZ-ABEND,X(04).,,,,,,000140,N,N,0,
SRSRADIS,WORKING-STORAGE SECTION,SRSCOMIN,03,SRSIN-COMM,W-SRCZ-MS,W-SRCZ-MS/SRSIN-COMM,,,,,,,000143,Y,Y,1,000802
SRSRADIS,WORKING-STORAGE SECTION,SRSCOMIN,05,SRSIN-INFOS,SRSIN-COMM,W-SRCZ-MS/SRSIN-COMM/SRSIN-INFOS,,,,,,,000144,Y,Y,1,000793
SRSRADIS,WORKING-STORAGE SECTION,SRSCOMIN,10,SRSIN-TYPAPPEL,SRSIN-INFOS,W-SRCZ-MS/SRSIN-COMM/SRSIN-INFOS/SRSIN-TYPAPPEL,X.,,,,,,000145,N,N,0,
SRSRADIS,WORKING-STORAGE SECTION,SRSCOMIN,10,SRSIN-INFO-SESS,SRSIN-INFOS,W-SRCZ-MS/SRSIN-COMM/SRSIN-INFOS/SRSIN-INFO-SESS,,,,,,,000146,N,Y,0,
SRSRADIS,WORKING-STORAGE SECTION,SRSCOMIN,15,SRSIN-CODAPPL,SRSIN-INFO-SESS,W-SRCZ-MS/SRSIN-COMM/SRSIN-INFOS/SRSIN-INFO-SESS/SRSIN-CODAPPL,X(3).,,,,,,000147,Y,Y,1,000794
SRSRADIS,WORKING-STORAGE SECTION,SRSCOMIN,15,SRSIN-CODFONC,SRSIN-INFO-SESS,W-SRCZ-MS/SRSIN-COMM/SRSIN-INFOS/SRSIN-INFO-SESS/SRSIN-CODFONC,X.,,,,,,000148,N,N,0,
SRSRADIS,WORKING-STORAGE SECTION,SRSCOMIN,15,SRSIN-NOMUTIL,SRSIN-INFO-SESS,W-SRCZ-MS/SRSIN-COMM/SRSIN-INFOS/SRSIN-INFO-SESS/SRSIN-NOMUTIL,,,,,,,000149,N,N,0,
SRSRADIS,WORKING-STORAGE SECTION,SRSCOMIN,20,SRSIN-CODSERV,SRSIN-NOMUTIL,W-SRCZ-MS/SRSIN-COMM/SRSIN-INFOS/SRSIN-INFO-SESS/SRSIN-NOMUTIL/SRSIN-CODSERV,X(6).,,,,,,000150,N,N,0,
SRSRADIS,WORKING-STORAGE SECTION,SRSCOMIN,20,SRSIN-IDUTIL,SRSIN-NOMUTIL,W-SRCZ-MS/SRSIN-COMM/SRSIN-INFOS/SRSIN-INFO-SESS/SRSIN-NOMUTIL/SRSIN-IDUTIL,X(2).,,,,,,000151,N,N,0,
SRSRADIS,WORKING-STORAGE SECTION,SRSCOMIN,15,FILLER,SRSIN-INFO-SESS,W-SRCZ-MS/SRSIN-COMM/SRSIN-INFOS/SRSIN-INFO-SESS/FILLER,,,,,SRSIN-NOMUTIL,,000152,N,N,0,
SRSRADIS,WORKING-STORAGE SECTION,SRSCOMIN,20,SRSIN-NIVEAU,FILLER,W-SRCZ-MS/SRSIN-COMM/SRSIN-INFOS/SRSIN-INFO-SESS/FILLER/SRSIN-NIVEAU,X.,,,,,,000153,N,N,0,
SRSRADIS,WORKING-STORAGE SECTION,SRSCOMIN,20,FILLER,FILLER,W-SRCZ-MS/SRSIN-COMM/SRSIN-INFOS/SRSIN-INFO-SESS/FILLER/FILLER,X(7).,,,,,,000154,N,N,0,
SRSRADIS,WORKING-STORAGE SECTION,SRSCOMIN,10,SRSIN-TYPRESS,SRSIN-INFOS,W-SRCZ-MS/SRSIN-COMM/SRSIN-INFOS/SRSIN-TYPRESS,X.,,,,,,000155,N,N,0,
SRSRADIS,WORKING-STORAGE SECTION,SRSCOMIN,10,SRSIN-NOMRESS,SRSIN-INFOS,W-SRCZ-MS/SRSIN-COMM/SRSIN-INFOS/SRSIN-NOMRESS,X(8).,,,,,,000156,N,N,0,
SRSRADIS,WORKING-STORAGE SECTION,SRSCOMIN,10,FILLER,SRSIN-INFOS,W-SRCZ-MS/SRSIN-COMM/SRSIN-INFOS/FILLER,,,,,SRSIN-NOMRESS,,000157,N,N,0,
SRSRADIS,WORKING-STORAGE SECTION,SRSCOMIN,15,SRSIN-NOM-IMP,FILLER,W-SRCZ-MS/SRSIN-COMM/SRSIN-INFOS/FILLER/SRSIN-NOM-IMP,X(4).,,,,,,000158,N,N,0,
SRSRADIS,WORKING-STORAGE SECTION,SRSCOMIN,15,SRSIN-TYP-MESS,FILLER,W-SRCZ-MS/SRSIN-COMM/SRSIN-INFOS/FILLER/SRSIN-TYP-MESS,X(4).,,,,,,000159,N,N,0,
SRSRADIS,WORKING-STORAGE SECTION,SRSCOMIN,10,FILLER,SRSIN-INFOS,W-SRCZ-MS/SRSIN-COMM/SRSIN-INFOS/FILLER,,,,,SRSIN-NOMRESS,,000160,N,N,0,
SRSRADIS,WORKING-STORAGE SECTION,SRSCOMIN,15,SRSIN-NOMTERM,FILLER,W-SRCZ-MS/SRSIN-COMM/SRSIN-INFOS/FILLER/SRSIN-NOMTERM,X(4).,,,,,,000161,N,N,0,
SRSRADIS,WORKING-STORAGE SECTION,SRSCOMIN,15,FILLER,FILLER,W-SRCZ-MS/SRSIN-COMM/SRSIN-INFOS/FILLER/FILLER,X(4).,,,,,,000162,N,N,0,
SRSRADIS,WORKING-STORAGE SECTION,SRSCOMIN,10,FILLER,SRSIN-INFOS,W-SRCZ-MS/SRSIN-COMM/SRSIN-INFOS/FILLER,,,,,SRSIN-NOMRESS,,000163,N,N,0,
SRSRADIS,WORKING-STORAGE SECTION,SRSCOMIN,15,SRSIN-NOMTRAN,FILLER,W-SRCZ-MS/SRSIN-COMM/SRSIN-INFOS/FILLER/SRSIN-NOMTRAN,X(4).,,,,,,000164,N,N,0,
SRSRADIS,WORKING-STORAGE SECTION,SRSCOMIN,15,FILLER,FILLER,W-SRCZ-MS/SRSIN-COMM/SRSIN-INFOS/FILLER/FILLER,X(4).,,,,,,000165,N,N,0,
