program,section,source,level,name,parent_name,full_path,pic,usage,occurs,occurs_depends_on,redefines,value,line_etude
SRSRADIS,WORKING-STORAGE SECTION,SMASHTRC,05,SMASH-CPT002,SMASH,SMASH/SMASH-CPT002,9(004),,,,,ZERO,000071
SRSRADIS,WORKING-STORAGE SECTION,SMASHTRC,05,SMASH-CPT003,SMASH,SMASH/SMASH-CPT003,9(004),,,,,ZERO,000072
SRSRADIS,WORKING-STORAGE SECTION,SMASHTRC,05,SMASH-CPT004,SMASH,SMASH/SMASH-CPT004,9(004),,,,,ZERO,000073
SRSRADIS,WORKING-STORAGE SECTION,SMASHTRC,05,SMASH-CPT005,SMASH,SMASH/SMASH-CPT005,9(004),,,,,ZERO,000074
SRSRADIS,WORKING-STORAGE SECTION,SMASHTRC,05,SMASH-LENGTH,SMASH,SMASH/SMASH-LENGTH,9(004),,,,,ZERO,000075
SRSRADIS,WORKING-STORAGE SECTION,SMASHTRC,05,SMASH-HHMM,SMASH,SMASH/SMASH-HHMM,9(004),,,,,ZERO,000076
SRSRADIS,WORKING-STORAGE SECTION,SMASHTRC,05,SMASH-HHMMSS,SMASH,SMASH/SMASH-HHMMSS,9(006),,,,,ZERO,000077
SRSRADIS,WORKING-STORAGE SECTION,SMASHTRC,05,SMASH-EIBTASKN,SMASH,SMASH/SMASH-EIBTASKN,9(007),,,,,ZERO,000078
SRSRADIS,WORKING-STORAGE SECTION,SMASHTRC,05,SMASH-CM-RETCODE,SMASH,SMASH/SMASH-CM-RETCODE,9(009),,,,,ZERO,000079
SRSRADIS,WORKING-STORAGE SECTION,SMASHTRC,05,SMASH-STATUS-RECEIVED,SMASH,SMASH/SMASH-STATUS-RECEIVED,9(009),,,,,ZERO,000080
SRSRADIS,WORKING-STORAGE SECTION,SMASHTRC,05,SMASH-RECEIVE-RETCODE1,SMASH,SMASH/SMASH-RECEIVE-RETCODE1,9(009),,,,,ZERO,000081
SRSRADIS,WORKING-STORAGE SECTION,SMASHDIW,01,SMAD,,SMAD,,,,,,,000084
SRSRADIS,WORKING-STORAGE SECTION,SMASHDIW,05,SMAD-LOG,SMAD,SMAD/SMAD-LOG,9(001),,,,,1,000085
SRSRADIS,WORKING-STORAGE SECTION,SMASHDIW,05,SMAD-GRP,SMAD,SMAD/SMAD-GRP,,,,,,,000086
SRSRADIS,WORKING-STORAGE SECTION,SMASHDIW,10,SMAD-PGM,SMAD-GRP,SMAD/SMAD-GRP/SMAD-PGM,X(008).,,,,,,000087
SRSRADIS,WORKING-STORAGE SECTION,SMASHDIW,10,SMAD-OPER,SMAD-GRP,SMAD/SMAD-GRP/SMAD-OPER,X(008).,,,,,,000088
SRSRADIS,WORKING-STORAGE SECTION,SMASHDIW,10,SMAD-TRAN,SMAD-GRP,SMAD/SMAD-GRP/SMAD-TRAN,X(004),,,,,,000089
SRSRADIS,WORKING-STORAGE SECTION,SMASHDIW,10,SMAD-XPGM,SMAD-GRP,SMAD/SMAD-GRP/SMAD-XPGM,X(008).,,,,,,000090
SRSRADIS,WORKING-STORAGE SECTION,SMASHDIW,10,SMAD-TYNC,SMAD-GRP,SMAD/SMAD-GRP/SMAD-TYNC,X(008).,,,,,,000091
SRSRADIS,WORKING-STORAGE SECTION,SMASHDIW,10,SMAD-CMAP,SMAD-GRP,SMAD/SMAD-GRP/SMAD-CMAP,X(015).,,,,,,000092
SRSRADIS,WORKING-STORAGE SECTION,SMASHDIW,10,SMAD-TSQN,SMAD-GRP,SMAD/SMAD-GRP/SMAD-TSQN,X(008).,,,,,,000093
SRSRADIS,WORKING-STORAGE SECTION,SMASHDIW,10,SMAD-TSQL,SMAD-GRP,SMAD/SMAD-GRP/SMAD-TSQL,X(015).,,,,,,000094
SRSRADIS,WORKING-STORAGE SECTION,SMASHDIW,10,SMAD-TSQI,SMAD-GRP,SMAD/SMAD-GRP/SMAD-TSQI,9(004).,,,,,,000095
